school_name,district,city,level_group,school_type_or_flag,ospi_school_code,nces_id,enrollment_total
SHS Graduation Alliance,Sunnyside School District,Sunnyside,High,Alternative School (CCD),5352,530867003504,4
Chief Kitsap Academy,Suquamish Tribal Education Department,Poulsbo,Other,tribal community (Phase 3R SKIP),5319,530032803493,74
Alternative Spcl Needs Div Occ,Tacoma School District,TACOMA,High,Special Education School (CCD),1514,530870003051,0
Comm Based Trans Program,Tacoma School District,Tacoma,High,Special Education School (CCD),1585,530870002413,71
Industrial Design Engineering and Arts,Tacoma School District,Tacoma,High,Regular School (CCD),5458,530870003575,392
Remann Hall Juvenile Detention Center,Tacoma School District,Tacoma,High,Regular School (CCD),2039,530870002171,21
Science and Math Institute,Tacoma School District,Tacoma,High,Regular School (CCD),5169,530870003286,597
Special Services,Tacoma School District,Tacoma,Other,Alternative School (CCD),5192,530870003275,9
Tacoma Pierce County Education Center,Tacoma School District,Tacoma,High,Regular School (CCD),5184,530870003313,0
Tacoma School of the Arts,Tacoma School District,Tacoma,High,Regular School (CCD),1860,530870002846,658
The School at Pearl Youth Residence,Tacoma School District,Tacoma,High,Special Education School (CCD),4283,530870002177,21
Tahoma Open Doors,Tahoma School District,Maple Valley,High,reengagement (by name),5563,530876003716,0
Tekoa High School,Tekoa School District,TEKOA,High,Regular School (CCD),3418,530879001521,115
Thorp Elem & Jr Sr High,Thorp School District,THORP,Other,Regular School (CCD),2514,530885001525,247
Tonasket Choice High School,Tonasket School District,Tonasket,High,Regular School (CCD),5586,530894003709,22
Touchet Elem & High School,Touchet School District,TOUCHET,Other,Regular School (CCD),2160,530900001536,251
Trout Lake School,Trout Lake School District,Trout Lake,High,Regular School (CCD),2676,530906001539,130
Gateway to College,Tukwila School District,Des Moines,High,Alternative School (CCD),5284,530813003429,0
Renton Technical College,Tukwila School District,Renton,High,Alternative School (CCD),5315,530813003439,0
Tukwila Online Learning,Tukwila School District,Tukwila,High,virtual/online (by name),5536,530813003650,0
New Market Skills Center,Tumwater School District,Tumwater,High,Career and Technical School (CCD),4225,530910002186,86
Thurs Co Juv Det/Tumwater West E,Tumwater School District,Tumwater,High,Regular School (CCD),3925,530910002380,5
Curtis Junior High,University Place School District,UNIVERSITY PLACE,High,Regular School (CCD),3179,530918001548,904
Paideia High School,Valley School District,Valley,High,Regular School (CCD),5223,530924003327,23
Gate Work Study Program,Vancouver School District,VANCOUVER,High,Special Education School (CCD),1738,530927002554,51
Jim Tangeman Center,Vancouver School District,VANCOUVER,Other,Special Education School (CCD),1574,530927002408,72
Lewis and Clark High School,Vancouver School District,VANCOUVER,High,Regular School (CCD),3932,530927001579,96
Open Doors,Vancouver School District,VANCOUVER,High,reengagement (by name),5342,530927003477,284
Vancouver Contracted Programs,Vancouver School District,VANCOUVER,High,Regular School (CCD),5258,530927003383,0
Vancouver Home Connection,Vancouver School District,VANCOUVER,Other,Alternative School (CCD),3556,530927002943,159
Vancouver Intensive Communications Center,Vancouver School District,Vancouver,Other,Special Education School (CCD),5716,530927003885,0
Vancouver Success Academy,Vancouver School District,Vancouver,Other,Alternative School (CCD),5713,530927003882,75
Vancouver Virtual Learning Academy,Vancouver School District,VANCOUVER,Other,virtual/online (by name),5149,530927003246,238
Vancouver iTech Preparatory,Vancouver School District,VANCOUVER,High,Regular School (CCD),5271,530927003415,600
Family Link,Vashon Island School District,VASHON,Other,Alternative School (CCD),1822,530930002720,72
Wahkiakum High School,Wahkiakum School District,CATHLAMET,High,Regular School (CCD),3467,530933001594,127
Waitsburg High School,Waitsburg School District,Waitsburg,High,Regular School (CCD),2386,530939001597,87
Homelink,Walla Walla Public Schools,WALLA WALLA,Other,Alternative School (CCD),1772,530945002690,47
Lincoln High School,Walla Walla Public Schools,WALLA WALLA,High,Alternative School (CCD),4071,530945001607,186
SE AREA TECHNICAL SKILLS CENTER,Walla Walla Public Schools,WALLA WALLA,High,Career and Technical School (CCD),5337,530945003481,6
Walla Walla County Juvenile Detention,Walla Walla Public Schools,Walla Walla,High,Regular School (CCD),5705,530945003826,5
Wapato ESD 105 Open Doors,Wapato School District,YAKIMA,High,reengagement (by name),5595,530948003698,0
Washington Youth Academy,Washington Military Department,Bremerton,High,statewide specialty (Phase 3R SKIP),5302,530032403412,0
Washougal Learning Academy,Washougal School District,Washougal,Other,Alternative School (CCD),5615,530954003730,13
Washtucna Elementary/High School,Washtucna School District,Washtucna,Other,Regular School (CCD),3075,530957001625,71
Waterville High School,Waterville School District,WATERVILLE,High,Regular School (CCD),2162,530960001628,127
Wellpinit High School,Wellpinit School District #49,WELLPINIT,High,Regular School (CCD),2550,530963001629,108
Chelan County Juvenile Detention Center,Wenatchee School District,WENATCHEE,Other,Regular School (CCD),1802,530966002706,12
Open Doors Re-Engagement,Wenatchee School District,Wenatchee,High,reengagement (by name),5316,530966003459,91
Skill Source,Wenatchee School District,WENATCHEE,High,Alternative School (CCD),1612,530966000097,3
Valley Online Academy,Wenatchee School District,Wenatchee,Other,virtual/online (by name),5637,530966003727,23
Wenatchee Valley Technical Skills Center,Wenatchee School District,WENATCHEE,High,Career and Technical School (CCD),4105,530966002783,8
Open Doors re-engagement,West Valley School District (Spokane),Spokane,High,reengagement (by name),5356,530969003469,3
West Valley Innovation Center,West Valley School District (Yakima),Yakima,High,Regular School (CCD),5699,530972003820,195
West Valley Open Doors,West Valley School District (Yakima),Yakima,High,reengagement (by name),5540,530972003669,14
West Valley Virtual University,West Valley School District (Yakima),Yakima,High,virtual/online (by name),5620,530972003776,2
White River Homeschool,White River School District,Buckley,Other,homeschool partnership,5390,530978003544,0
White River Reengagement Program,White River School District,Buckley,High,reengagement (by name),5338,530978003465,40
Cascade Public Schools,Why Not You Academy,Des Moines,High,charter,5662,530034903783,126
Wilbur Secondary School,Wilbur School District,Wilbur,High,Regular School (CCD),3289,530984001668,109
Willapa Valley Middle-High,Willapa Valley School District,Raymond,High,Regular School (CCD),2542,530987001673,204
Wilson Creek High,Wilson Creek School District,Wilson Creek,High,Regular School (CCD),2473,530990001675,58
Winolequa Learning Academy,Winlock School District,Winlock,High,Alternative School (CCD),1829,530993002804,0
Wishkah Valley Elementary/High School,Wishkah Valley School District,Aberdeen,Other,Regular School (CCD),3375,530999001679,178
Wishram High And Elementary Schl,Wishram School District,Wishram,Other,Regular School (CCD),2605,531002001680,91
Lewis River Academy,Woodland School District,Woodland,Other,Alternative School (CCD),5246,531005003371,43
Juvenile Detention Center,Yakima School District,YAKIMA,High,Regular School (CCD),4092,531011002932,23
Ridgeview Group Home,Yakima School District,Yakima,High,Regular School (CCD),5264,531011003420,3
Yakima Adult Jail,Yakima School District,Yakima,High,Regular School (CCD),5263,531011003399,0
Yakima Valley Technical Skills Center,Yakima School District,Yakima,High,Career and Technical School (CCD),4020,531011002195,0
