school_name,district,city,level_group,school_type_or_flag,ospi_school_code,nces_id,enrollment_total
Island County Corrections Facility Ed Program,Coupeville School District,Coupeville,High,Regular School (CCD),5234,530180003350,0
Island Juvenile Detention Education Program,Coupeville School District,Coupeville,High,Regular School (CCD),5059,530180003266,0
Olympic Peninsula HomeConnection,Crescent School District,Port Angeles,Other,Alternative School (CCD),5030,530183002942,144
Creston Jr-Sr High School,Creston School District,Creston,High,Regular School (CCD),2863,530186000294,34
Home Pride,Cusick School District,Cusick,Other,Regular School (CCD),5538,530192003642,111
Darrington High School,Darrington School District,DARRINGTON,High,Regular School (CCD),3188,530198000301,113
LINCOLN COUNTY PATHWAYS ACADEMY,Davenport School District,Davenport,High,Alternative School (CCD),5728,530201003897,18
Lincoln County Tech,Davenport School District,Davenport,High,Career and Technical School (CCD),5603,530201003705,0
Lincoln County Virtual Academy,Davenport School District,Davenport,Other,virtual/online (by name),5643,530201003752,5
Dayton School District Alternative Program,Dayton School District,Dayton,High,Alternative School (CCD),5617,530204003732,13
Deer Park Achievement High School,Deer Park School District,Deer Park,High,Alternative School (CCD),5734,530207003903,94
Deer Park Home Link Program,Deer Park School District,Deer Park,Other,Alternative School (CCD),1852,530207002827,617
EV Parent Partnership,East Valley School District (Spokane),Spokane Valley,Other,Alternative School (CCD),5433,530228003582,221
Canyon View Group Home,Eastmont School District,East Wenatchee,High,Regular School (CCD),2986,530231002913,1
Easton School,Easton School District,EASTON,Other,Regular School (CCD),3554,530234000324,81
Eatonville High School,Eatonville School District,Eatonville,High,Regular School (CCD),2206,530237000327,573
Contracted Schools,Edmonds School District,LYNNWOOD,Other,Special Education School (CCD),1830,530240002821,18
ESA 112 Special Ed Co-Op,Educational Service Agency 112,Vancouver,Other,statewide specialty (Phase 3R SKIP),5467,530034003593,0
Martin Hall Detention Ctr,Educational Service District 101,Medical Lake,High,institutional (juvenile detention / youth services),3352,530001002919,8
NEWESD 101 Open Doors,Educational Service District 101,Spokane,High,regional alt / reengagement (Phase 3R SKIP),5434,530001003583,127
Spokane Juvenile Detention School,Educational Service District 101,Spokane,High,institutional (juvenile detention / youth services),3526,530001002930,19
Structural Alt Confinement School,Educational Service District 101,Spokane,High,institutional (juvenile detention / youth services),3507,530001002929,14
ESD 105 Open Doors,Educational Service District 105,Yakima,High,regional alt / reengagement (Phase 3R SKIP),5578,530001303670,120
Clark County Juvenile Detention School,Educational Service District 112,Vancouver,Other,institutional (juvenile detention / youth services),5290,530000503407,15
Cowlitz County Youth Services Center,Educational Service District 112,Longview,High,institutional (juvenile detention / youth services),3294,530000502917,14
ESD 112 Open Doors Reengagement,Educational Service District 112,Vancouver,High,regional alt / reengagement (Phase 3R SKIP),5398,530000503538,46
Ugrad ESD123 Re-Engagement Program,Educational Service District 123,Pasco,High,regional alt / reengagement (Phase 3R SKIP),5403,530001203521,353
Eagle Virtual Sky Academy,Elma School District,Elma,Other,virtual/online (by name),5715,530249003884,41
East Grays Harbor High School,Elma School District,Elma,High,Alternative School (CCD),1629,530249001298,4
Entiat Middle and High School,Entiat School District,ENTIAT,High,Regular School (CCD),3317,530255000374,205
Everett Virtual Academy,Everett School District,Everett,High,virtual/online (by name),5735,530267003904,45
NW Learning Center,Everett School District,Arlington,High,Alternative School (CCD),1663,530267002469,2
Port Gardner,Everett School District,Everett,Other,Alternative School (CCD),1907,530267002897,88
Sno Co Jail,Everett School District,Everett,High,Regular School (CCD),1810,530267003435,0
Special Services,Everett School District,Everett,Other,Special Education School (CCD),3903,530267002818,95
Cascadia Technical Academy Skills Center,Evergreen School District (Clark),Vancouver,High,Career and Technical School (CCD),4203,530270002097,14
Henrietta Lacks Health and Bioscience High School,Evergreen School District (Clark),Vancouver,High,Regular School (CCD),5310,530270003463,467
Hollingsworth Academy,Evergreen School District (Clark),Vancouver,Other,Special Education School (CCD),1646,530270001270,101
Home Choice Academy,Evergreen School District (Clark),Vancouver,Other,Alternative School (CCD),1926,530270003101,204
Open Doors Evergreen,Evergreen School District (Clark),Vancouver,High,reengagement (by name),5435,530270003567,157
Dynamic Family Services,Federal Way School District,Kent,Other,Special Education School (CCD),5280,530282003430,0
Employment Transition Program,Federal Way School District,Federal Way,High,Special Education School (CCD),1950,530282003124,62
Gateway to College,Federal Way School District,Federal Way,High,Regular School (CCD),5255,530282003374,23
Support School,Federal Way School District,Federal Way,Other,Regular School (CCD),1951,530282002961,55
Technology Access Foundation Academy at Saghalie,Federal Way School District,Federal Way,High,Regular School (CCD),5473,530282003610,532
Ferndale Re-Engagement,Ferndale School District,FERNDALE,High,reengagement (by name),5464,530285003576,33
Columbia Junior High School,Fife School District,Tacoma,High,Regular School (CCD),4582,530288003161,619
Garfield at Palouse High School,Garfield School District,Palouse,High,Regular School (CCD),1962,530300003135,45
Glenwood Secondary,Glenwood School District,Glenwood,High,Regular School (CCD),3048,530303000489,26
Lake Roosevelt Jr/Sr High School,Grand Coulee Dam School District,COULEE DAM,High,Regular School (CCD),2801,530313000496,308
Step to College Open Doors High School,Grandview School District,Grandview,High,reengagement (by name),5399,530315003550,5
Harrington High School,Harrington School District,Harrington,High,Regular School (CCD),3113,530336000512,44
CHOICE Academy,Highline School District,Seattle,High,Alternative School (CCD),1539,530354002640,176
Career Link,Highline School District,Seattle,High,Alternative School (CCD),5116,530354003224,0
Gateway to College,Highline School District,Burien,High,Alternative School (CCD),5254,530354003373,0
Highline Home School Center,Highline School District,Burien,Other,homeschool partnership,5371,530354003496,10
Maritime High School,Highline School District,Des Moines,High,Regular School (CCD),5672,530354003793,126
Puget Sound High School,Highline School District,Burien,High,Alternative School (CCD),5172,530354003283,0
Puget Sound Skills Center,Highline School District,Seattle,High,Career and Technical School (CCD),2270,530354002103,3
Raisbeck Aviation High School,Highline School District,Tukwila,High,Alternative School (CCD),3553,530354002974,400
Satellite High School,Highline School District,Seattle,Other,Special Education School (CCD),1973,530354002968,0
Southwest Youth and Family Services,Highline School District,Seattle,High,Regular School (CCD),5277,530354003384,0
Intergenerational High School,Intergenerational High School,Bellingham,High,charter,5710,530035103831,107
Echo Glen School,Issaquah School District,SNOQUALMIE,High,Regular School (CCD),3569,530375001773,104
Issaquah Special Services,Issaquah School District,ISSAQUAH,Other,Special Education School (CCD),1624,530375001490,67
Kahlotus Elem & High,Kahlotus School District,KAHLOTUS,Other,Regular School (CCD),3214,530378000583,59
Kelso Goal Oriented Learning Design,Kelso School District,Kelso,High,Alternative School (CCD),5547,530000303667,12
Loowit High School,Kelso School District,Kelso,High,Alternative School (CCD),1934,530000303109,14
Special Education,Kelso School District,Kelso,Other,Special Education School (CCD),5076,530000303076,19
Benton County Jail,Kennewick School District,Kennewick,High,Regular School (CCD),5235,530393003352,0
Benton/Franklin Juvenile Justice Center,Kennewick School District,KENNEWICK,High,Regular School (CCD),4007,530393002546,34
Mid-Columbia Parent Partnership,Kennewick School District,KENNEWICK,Other,Alternative School (CCD),1941,530393003115,503
Tri-Tech Skills Center,Kennewick School District,KENNEWICK,High,Career and Technical School (CCD),4118,530393002110,0
Kent Laboratory Academy,Kent School District,Kent,Other,Alternative School (CCD),5676,530396003797,291
Regional Justice Center,Kent School District,Kent,High,Alternative School (CCD),1807,530396002728,0
The Outreach Program,Kent School District,Kent,High,Special Education School (CCD),5440,530396003564,62
Parke Creek Treatment Ctr,Kittitas School District,Ellensburg,High,Regular School (CCD),3213,530405002916,11
Klickitat Elem & High,Klickitat School District,Klickitat,Other,Regular School (CCD),3494,530408000644,71
La Center Academy,La Center School District,La Center,Other,Alternative School (CCD),5326,530417003451,38
Lacrosse High School,LaCrosse School District,LaCrosse,High,Regular School (CCD),2088,530415000648,28
Chelan School of Innovation,Lake Chelan School District,Chelan,High,Alternative School (CCD),1940,530120003114,50
Holden Village Community School,Lake Chelan School District,Chelan,Other,Regular School (CCD),3861,530120000219,4
Lake Quinault School,Lake Quinault School District,Amanda Park,Other,Regular School (CCD),2921,530705001050,207
Cavelero Mid High School,Lake Stevens School District,Lake Stevens,High,Regular School (CCD),5099,530420003190,1490
Homelink,Lake Stevens School District,Lake Stevens,Other,Alternative School (CCD),1753,530420002670,31
LSSD Open Doors,Lake Stevens School District,Lake Stevens,High,reengagement (by name),5742,530420003911,15
Outcomes for Academic Resilience,Lake Stevens School District,Lake Stevens,High,Alternative School (CCD),5442,530420003562,0
Prove High School,Lake Stevens School District,Lake Stevens,High,Alternative School (CCD),4140,530420001782,0
Contractual Schools,Lake Washington School District,Redmond,Other,Alternative School (CCD),1649,530423001598,10
Emerson K-12,Lake Washington School District,Kirkland,Other,Alternative School (CCD),1688,530423002725,67
Futures School,Lake Washington School District,Kirkland,High,Alternative School (CCD),1804,530423002727,0
International Community School,Lake Washington School District,Kirkland,High,Alternative School (CCD),1706,530423002568,421
Nikola Tesla STEM High School,Lake Washington School District,Redmond,High,Alternative School (CCD),5265,530423003432,605
Washington Network for Innovative Careers Skill Center,Lake Washington School District,Redmond,High,Career and Technical School (CCD),5958,530423003289,266
Lind-Ritzville High School,Lind School District,Ritzville,High,Regular School (CCD),2903,530441000696,47
Lopez Middle High School,Lopez School District,Lopez Island,High,Regular School (CCD),2632,530453000713,111
IMPACT Reengagement Program,Lynden School District,Lynden,High,reengagement (by name),5466,530462003592,0
Lynden Academy,Lynden School District,Lynden,Other,Alternative School (CCD),1983,530462003022,419
Mabton Step Up To College,Mabton School District,Grandview,High,Alternative School (CCD),5443,530465003558,1
Mansfield Elem and High School,Mansfield School District,MANSFIELD,Other,Regular School (CCD),2233,530471000726,107
Mary M. Knight School,Mary M Knight School District,Elma,Other,Regular School (CCD),5444,530480003571,184
Marysville Online High School,Marysville School District,Marysville,High,virtual/online (by name),5731,530486003900,0
Marysville SD Special,Marysville School District,Marysville,Other,Special Education School (CCD),1910,530486002900,197
Meridian Impact Re-Engagement,Meridian School District,Bellingham,High,reengagement (by name),5448,530501003563,21
Alternative Educational Experience,Methow Valley School District,Winthrop,Other,Alternative School (CCD),1845,530502002807,26
Liberty Bell Jr Sr High,Methow Valley School District,Winthrop,High,Regular School (CCD),2146,530502000770,356
Methow Valley Independent Learning Center,Methow Valley School District,Twisp,High,Regular School (CCD),1621,530502001170,35
Pacific Crest Innovation Academy,Mill A School District,cook,High,Regular School (CCD),5480,530504003616,25
Columbia Basin Technical Skills Center,Moses Lake School District,Moses Lake,High,Career and Technical School (CCD),5273,530522003392,53
Vanguard Academy,Moses Lake School District,Moses Lake,High,Regular School (CCD),5726,530522003895,387
Mossyrock Academy,Mossyrock School District,Mossyrock,High,Alternative School (CCD),5415,530525003537,16
Mount Baker Academy,Mount Baker School District,Deming,Other,Alternative School (CCD),5112,530531003211,32
Mount Vernon Special Ed,Mount Vernon School District,Mount Vernon,Other,Special Education School (CCD),3829,530540001724,152
Northwest Career & Technical Academy/A WA Skills Center,Mount Vernon School District,Mount Vernon,High,Career and Technical School (CCD),5960,530540003297,43
Skagit Academy,Mount Vernon School District,Mount Vernon,Other,Alternative School (CCD),1992,530540003006,300
Sno-Isle Skills Center,Mukilteo School District,Everett,High,Career and Technical School (CCD),4019,530543002127,0
Special Services,Mukilteo School District,Everett,Other,Special Education School (CCD),1848,530543002820,45
NACHES VALLEY ESD 105 OPEN DOORS,Naches Valley School District,YAKIMA,High,reengagement (by name),5580,530546003679,0
Naselle-Grays River Valley Jr Sr High Schools,Naselle-Grays River Valley School District,NASELLE,High,Regular School (CCD),3295,530552000831,189
Nespelem High School,Nespelem School District,Nespelem,High,Regular School (CCD),5740,530555003909,19
Newport Home Link,Newport School District,Newport,Other,Alternative School (CCD),5681,530561003802,170
Re-Engagement School (Nine Mile Falls),Nine Mile Falls School District,Nine Mile Falls,High,reengagement (by name),5417,530564003523,5
Nooksack Reengagement,Nooksack Valley School District,Everson,High,reengagement (by name),5554,530567003691,15
CRCC-Open Doors,North Franklin School District,Connell,High,reengagement (by name),5499,530573003621,7
Connell High School,North Franklin School District,Connell,High,Regular School (CCD),3272,530573000848,615
Palouse Junction High School,North Franklin School District,Connell,High,Alternative School (CCD),1754,530573002622,29
Choice Academy,North Kitsap School District,Kingston,High,Alternative School (CCD),5546,530576003627,54
District Programs,North Kitsap School District,Kingston,Other,Alternative School (CCD),1677,530576002453,0
North Kitsap Online Academy & Parent Assisted Learning,North Kitsap School District,Kingston,Other,virtual/online (by name),1733,530576002653,58
North River School,North River School District,Cosmopolis,Other,Regular School (CCD),2292,530582000861,54
Northport High School,Northport School District,Northport,High,Regular School (CCD),2958,530588000874,58
Northport Homelink Program,Northport School District,Northport,Other,Alternative School (CCD),5252,530588003370,22
Northshore Special Services,Northshore School District,Bothell,Other,Special Education School (CCD),1815,530591002731,34
Woodinville Community Center,Northshore School District,Bothell,High,Regular School (CCD),3396,530591002922,5
Open Doors - Youth Reengagement Program,Northwest Educational Service District 189,Anacortes,High,regional alt / reengagement (Phase 3R SKIP),5501,530000803609,63
Pass Program,Northwest Educational Service District 189,Everett,High,regional alt / reengagement (Phase 3R SKIP),1811,530000802755,0
Skagit County Detention Center,Northwest Educational Service District 189,MOUNT VERNON,High,institutional (juvenile detention / youth services),3363,530000802921,4
Snohomish Detention Center,Northwest Educational Service District 189,Everett,High,institutional (juvenile detention / youth services),2601,530000802095,8
Whatcom Co Detention Center,Northwest Educational Service District 189,BELLINGHAM,High,institutional (juvenile detention / youth services),3420,530000802923,4
Homeconnection,Oak Harbor School District,Oak Harbor,Other,Alternative School (CCD),1758,530594002628,385
Oakesdale High School,Oakesdale School District,Oakesdale,High,Regular School (CCD),2432,530597000908,80
Ocosta ALE,Ocosta School District,Westport,Other,Regular School (CCD),5708,530609003829,7
Odessa High School,Odessa School District,ODESSA,High,Regular School (CCD),2443,530612000916,103
Washington State School for the Blind,Office of the Governor (Sch for Blind),Vancouver,High,statewide specialty (Phase 3R SKIP),3799,530031802385,50
Okanogan Co Juvenile Detention,Okanogan School District,OKANOGAN,High,Regular School (CCD),3193,530615002915,5
Okanogan High School,Okanogan School District,Okanogan,High,Regular School (CCD),2246,530615000920,308
Touchstone,Olympia School District,Olympia,High,Regular School (CCD),5259,530618003386,2
Clallam Co Juvenile Detention,Olympic Educational Service District 114,PORT ANGELES,High,institutional (juvenile detention / youth services),3143,530000702914,0
Kitsap Co Detention Ctr,Olympic Educational Service District 114,PORT ORCHARD,High,institutional (juvenile detention / youth services),3481,530000702927,2
Orcas Island High School,Orcas Island School District,EASTSOUND,High,Regular School (CCD),2750,530630000945,177
Palouse High School,Palouse School District,Palouse,High,Regular School (CCD),2634,530654000152,57
Soar to Success,Pasco School District,Pasco,High,Alternative School (CCD),5596,530657003675,0
Pateros Alternative School,Pateros School District,Pateros,Other,Alternative School (CCD),5639,530660003755,0
Pateros High School,Pateros School District,PATEROS,High,Regular School (CCD),2397,530660000975,113
Pe Ell School,Pe Ell School District,Pe Ell,Other,Regular School (CCD),2858,530666000977,284
Trojan Alternative School,Pe Ell School District,Pe Ell,High,Alternative School (CCD),1925,530666003100,0
Special Education,Port Angeles School District,PORT ANGELES,Other,Special Education School (CCD),1897,530682003096,14
OCEAN,Port Townsend School District,Port Townsend,Other,Alternative School (CCD),1798,530684002791,144
Prosser Opportunity Academy,Prosser School District,PROSSER,High,Alternative School (CCD),5537,530690003664,48
Dropout Prevention and Reengagement Academy,Puget Sound Educational Service District 121,Renton,High,regional alt / reengagement (Phase 3R SKIP),5619,530000603748,0
PSD Special Services,Puyallup School District,Puyallup,Other,Special Education School (CCD),3951,530696002995,52
Quilcene High And Elementary,Quilcene School District,Quilcene,Other,Regular School (CCD),2474,530699001045,207
District Run Home School,Quillayute Valley School District,Forks,Other,homeschool partnership,1671,530702002507,42
Insight School of WA Open Doors Program,Quillayute Valley School District,Tacoma,High,reengagement (by name),5529,530702003665,8
