school_name,district,grade_level_category,school_type_or_flag,ospi_school_code,nces_id,level,grade_span,enrollment_total
Out Of District Facility,Renton School District,Other,Special Education School (CCD),1648,530723001410,Other,PK-12,10
Renton Academy,Renton School District,Other,Alternative School (CCD),5070,530723003073,Other,KG-12,24
Renton Remote School,Renton School District,Other,Regular School (CCD),5638,530723003743,Other,KG-12,0
Renton Technical High School,Renton Technical College,High,statewide specialty (Phase 3R SKIP),5591,530032503695,High,11-12,66
Republic Parent Partner,Republic School District,Other,Alternative School (CCD),1898,530726002888,Other,KG-12,199
Hanford High School,Richland School District,High,Regular School (CCD),3833,530732001095,High,09-12,1959
Pacific Crest Online Academy,Richland School District,Other,virtual/online (by name),5689,530732003810,Other,KG-12,325
Richland High School,Richland School District,High,Regular School (CCD),3511,530732001093,High,09-12,2218
Rivers Edge High School,Richland School District,High,Alternative School (CCD),4295,530732002229,High,09-12,245
Special Programs,Richland School District,Other,Special Education School (CCD),2001,530732002941,Other,PK-12,14
Three Rivers Home Link,Richland School District,Other,Alternative School (CCD),5165,530732003273,Other,KG-12,756
Twin Rivers Group Home,Richland School District,High,Regular School (CCD),3469,530732002925,High,09-12,0
Ridgefield High School,Ridgefield School District,High,Regular School (CCD),2390,530735001105,High,09-12,1249
Wisdom Ridge Academy,Ridgefield School District,Other,Alternative School (CCD),5690,530735003811,Other,KG-12,200
Ritzville High School,Ritzville School District,High,Regular School (CCD),2132,530738001111,High,09-12,133
Independent Scholar,Riverside School District,Other,Alternative School (CCD),1919,530744002908,Other,KG-12,113
Choice,Riverview School District,High,Regular School (CCD),5244,530456003375,Secondary,07-10,0
PARADE,Riverview School District,Other,Alternative School (CCD),1854,530456002797,Other,PK-12,86
Rooted School Washington,Rooted School Washington,High,charter,5755,531017103924,High,09-12,58
Rosalia Elementary & Secondary School,Rosalia School District,Other,Regular School (CCD),3204,530756002422,Other,PK-12,163
Friday Harbor High School,San Juan Island School District,High,Regular School (CCD),2879,530765001125,High,09-12,255
Griffin Bay School,San Juan Island School District,Other,Alternative School (CCD),1963,530765003136,Other,KG-12,47
Griffin Bay School Open Doors,San Juan Island School District,High,reengagement (by name),5559,530765003700,High,10-12,6
Interagency Detention School,Seattle School District No. 1,High,Regular School (CCD),3496,530771002928,High,06-12,47
Interagency Open Doors,Seattle School District No. 1,High,reengagement (by name),5405,530771003505,High,09-12,132
Private School Services,Seattle School District No. 1,Other,Special Education School (CCD),5046,530771003046,Other,PK-12,184
Seattle Skills Center,Seattle School District No. 1,High,Career and Technical School (CCD),5260,530771003414,High,09-12,0
Connections Academy,Sedro-Woolley School District,High,Alternative School (CCD),5456,530774003568,High,09-12,0
SELAH ACADEMY REENGAGEMENT PROGRAM,Selah School District,High,reengagement (by name),5334,530777003457,High,09-12,0
Selah Academy Auxiliary,Selah School District,High,Regular School (CCD),5560,530777003676,High,06-12,13
Selah Open Doors,Selah School District,High,reengagement (by name),5561,530777003710,High,09-12,13
Selkirk High School,Selkirk School District,High,Regular School (CCD),5226,530780003344,High,09-12,76
Dungeness Virtual School,Sequim School District,Other,virtual/online (by name),5613,530783003729,Other,KG-12,97
Olympic Peninsula Academy,Sequim School District,Other,Alternative School (CCD),1708,530783002552,Other,KG-12,117
Sequim Senior High,Sequim School District,High,Regular School (CCD),2471,530783001289,High,09-12,804
Cedar High School,Shelton School District,High,Regular School (CCD),5621,530790003753,High,09-12,100
Mason County Detention Center,Shelton School District,High,Regular School (CCD),1888,530790002865,High,07-12,1
Shelton Open Doors,Shelton School District,High,reengagement (by name),5548,530790003632,High,09-12,22
Fircrest Residential Habilitation,Shoreline School District,Other,Regular School (CCD),2612,530792002912,Other,KG-12,1
Handicapped Contractual Services,Shoreline School District,Other,Special Education School (CCD),1667,530792002447,Other,PK-12,155
Skykomish High School,Skykomish School District,High,Regular School (CCD),2513,530798001321,High,09-12,13
High School Re Entry,Snohomish School District,High,Alternative School (CCD),3981,530802001801,High,09-12,40
Parent Partnership,Snohomish School District,Other,Alternative School (CCD),1904,530802002894,Other,KG-12,90
Snohomish Center,Snohomish School District,Other,Special Education School (CCD),1730,530802002593,Other,PK-12,37
Snoqualmie Access,Snoqualmie Valley School District,Other,Special Education School (CCD),5181,530804003309,Other,PK-12,12
Two Rivers School,Snoqualmie Valley School District,High,Regular School (CCD),1502,530804002158,High,09-12,56
RISE Academy,Soap Lake School District,High,Alternative School (CCD),1518,530807002355,High,09-12,0
Astravo Online Acaemy - Washington Online School - Washingto,South Bend School District,Other,virtual/online (by name),5243,530810003365,Other,KG-12,0
Pacific County Jail,South Bend School District,High,Alternative School (CCD),5247,530810003372,High,09-12,0
Spokane International Academy,Spokane International Academy,Other,charter,5381,530033703539,Other,KG-12,824
A-3 Multiagency Adolescent Prog,Spokane School District,High,Regular School (CCD),1533,530825002361,High,06-12,29
Alternative Tamarack School,Spokane School District,High,Regular School (CCD),1604,530825000074,High,07-12,10
Bryant Center,Spokane School District,Other,Alternative School (CCD),3008,530825002764,Other,PK-12,330
Open Doors,Spokane School District,High,reengagement (by name),5344,530825003491,High,09-12,145
Sacred Heart Hospital,Spokane School District,Other,Special Education School (CCD),4286,530825003367,Other,PK-12,0
Shrine Hospital,Spokane School District,Other,Special Education School (CCD),2045,530825003417,Other,PK-12,0
Spokane Area Professional-Technical Skills Center,Spokane School District,High,Career and Technical School (CCD),4191,530825002164,High,09-12,20
Spokane County Jail,Spokane School District,High,Regular School (CCD),5249,530825003425,High,09-12,0
The Community School,Spokane School District,High,Regular School (CCD),5301,530825003401,High,09-12,165
The Healing Lodge,Spokane School District,High,Regular School (CCD),1767,530825002678,High,08-12,24
Sprague High School,Sprague School District,High,Regular School (CCD),2186,530828001419,High,09-12,22
St John/Endicott High,St. John School District,High,Regular School (CCD),3068,530831001421,High,09-12,60
Saratoga School,Stanwood-Camano School District,Other,Alternative School (CCD),5004,530834003011,Other,KG-12,218
Virtual Preparatory Academy of Washington,Starbuck School District,Other,virtual/online (by name),5696,530840003817,Other,KG-12,748
Sultan Virtual Academy,Sultan School District,Other,virtual/online (by name),5642,530855003765,Other,KG-12,30
Summit Public School: Atlas,Summit Public School: Atlas,High,charter,5469,530034303611,High,06-12,566
SHS Graduation Alliance,Sunnyside School District,High,Alternative School (CCD),5352,530867003504,High,09-12,4
Chief Kitsap Academy,Suquamish Tribal Education Department,Other,tribal community (Phase 3R SKIP),5319,530032803493,Other,KG-12,74
Alternative Spcl Needs Div Occ,Tacoma School District,High,Special Education School (CCD),1514,530870003051,High,09-12,0
Comm Based Trans Program,Tacoma School District,High,Special Education School (CCD),1585,530870002413,High,12-12,71
Industrial Design Engineering and Arts,Tacoma School District,High,Regular School (CCD),5458,530870003575,High,09-12,392
Remann Hall Juvenile Detention Center,Tacoma School District,High,Regular School (CCD),2039,530870002171,High,06-12,21
Science and Math Institute,Tacoma School District,High,Regular School (CCD),5169,530870003286,High,09-12,597
Special Services,Tacoma School District,Other,Alternative School (CCD),5192,530870003275,Other,PK-12,9
Tacoma Pierce County Education Center,Tacoma School District,High,Regular School (CCD),5184,530870003313,High,09-12,0
Tacoma School of the Arts,Tacoma School District,High,Regular School (CCD),1860,530870002846,High,09-12,658
The School at Pearl Youth Residence,Tacoma School District,High,Special Education School (CCD),4283,530870002177,High,06-12,21
Tahoma Open Doors,Tahoma School District,High,reengagement (by name),5563,530876003716,High,09-12,0
Tekoa High School,Tekoa School District,High,Regular School (CCD),3418,530879001521,High,06-12,115
Thorp Elem & Jr Sr High,Thorp School District,Other,Regular School (CCD),2514,530885001525,Other,KG-12,247
Tonasket Choice High School,Tonasket School District,High,Regular School (CCD),5586,530894003709,High,09-12,22
Touchet Elem & High School,Touchet School District,Other,Regular School (CCD),2160,530900001536,Other,KG-12,251
Toutle Lake High School,Toutle Lake School District,High,Regular School (CCD),2560,530903001538,High,07-12,308
Trout Lake School,Trout Lake School District,High,Regular School (CCD),2676,530906001539,High,05-12,130
Gateway to College,Tukwila School District,High,Alternative School (CCD),5284,530813003429,High,09-12,0
Renton Technical College,Tukwila School District,High,Alternative School (CCD),5315,530813003439,High,09-12,0
Tukwila Online Learning,Tukwila School District,High,virtual/online (by name),5536,530813003650,High,06-12,0
New Market Skills Center,Tumwater School District,High,Career and Technical School (CCD),4225,530910002186,High,11-12,86
Thurs Co Juv Det/Tumwater West E,Tumwater School District,High,Regular School (CCD),3925,530910002380,High,06-12,5
Curtis Junior High,University Place School District,High,Regular School (CCD),3179,530918001548,Secondary,08-09,904
Paideia High School,Valley School District,High,Regular School (CCD),5223,530924003327,High,09-12,23
Columbia River High,Vancouver School District,High,Regular School (CCD),3423,530927001557,High,09-12,1138
Fort Vancouver High School,Vancouver School District,High,Regular School (CCD),2179,530927001560,High,09-12,1507
Gate Work Study Program,Vancouver School District,High,Special Education School (CCD),1738,530927002554,High,12-12,51
Hudson's Bay High School,Vancouver School District,High,Regular School (CCD),3081,530927001569,High,09-12,1197
Jim Tangeman Center,Vancouver School District,Other,Special Education School (CCD),1574,530927002408,Other,KG-12,72
Lewis and Clark High School,Vancouver School District,High,Regular School (CCD),3932,530927001579,High,09-12,96
Open Doors,Vancouver School District,High,reengagement (by name),5342,530927003477,High,11-12,284
Skyview High School,Vancouver School District,High,Regular School (CCD),4504,530927002555,High,09-12,1869
Vancouver Contracted Programs,Vancouver School District,High,Regular School (CCD),5258,530927003383,High,09-12,0
Vancouver Home Connection,Vancouver School District,Other,Alternative School (CCD),3556,530927002943,Other,KG-12,159
Vancouver Intensive Communications Center,Vancouver School District,Other,Special Education School (CCD),5716,530927003885,Other,KG-12,0
Vancouver School of Arts and Academics,Vancouver School District,High,Regular School (CCD),1689,530927002508,High,06-12,787
Vancouver Success Academy,Vancouver School District,Other,Alternative School (CCD),5713,530927003882,Other,KG-12,75
Vancouver Virtual Learning Academy,Vancouver School District,Other,virtual/online (by name),5149,530927003246,Other,KG-12,238
Vancouver iTech Preparatory,Vancouver School District,High,Regular School (CCD),5271,530927003415,High,06-12,600
Family Link,Vashon Island School District,Other,Alternative School (CCD),1822,530930002720,Other,KG-12,72
Wahkiakum High School,Wahkiakum School District,High,Regular School (CCD),3467,530933001594,High,09-12,127
Waitsburg High School,Waitsburg School District,High,Regular School (CCD),2386,530939001597,High,09-12,87
Homelink,Walla Walla Public Schools,Other,Alternative School (CCD),1772,530945002690,Other,KG-12,47
Lincoln High School,Walla Walla Public Schools,High,Alternative School (CCD),4071,530945001607,High,06-12,186
SE AREA TECHNICAL SKILLS CENTER,Walla Walla Public Schools,High,Career and Technical School (CCD),5337,530945003481,High,11-12,6
Walla Walla County Juvenile Detention,Walla Walla Public Schools,High,Regular School (CCD),5705,530945003826,High,08-12,5
Wapato ESD 105 Open Doors,Wapato School District,High,reengagement (by name),5595,530948003698,High,09-12,0
Washington Youth Academy,Washington Military Department,High,statewide specialty (Phase 3R SKIP),5302,530032403412,High,09-12,0
Washougal High School,Washougal School District,High,Regular School (CCD),3147,530954001624,High,09-12,942
Washougal Learning Academy,Washougal School District,Other,Alternative School (CCD),5615,530954003730,Other,KG-12,13
Washtucna Elementary/High School,Washtucna School District,Other,Regular School (CCD),3075,530957001625,Other,PK-12,71
Waterville High School,Waterville School District,High,Regular School (CCD),2162,530960001628,High,06-12,127
Wellpinit High School,Wellpinit School District #49,High,Regular School (CCD),2550,530963001629,High,09-12,108
Chelan County Juvenile Detention Center,Wenatchee School District,Other,Regular School (CCD),1802,530966002706,Other,03-12,12
Open Doors Re-Engagement,Wenatchee School District,High,reengagement (by name),5316,530966003459,High,09-12,91
Skill Source,Wenatchee School District,High,Alternative School (CCD),1612,530966000097,High,09-12,3
Valley Online Academy,Wenatchee School District,Other,virtual/online (by name),5637,530966003727,Other,KG-12,23
Wenatchee High School,Wenatchee School District,High,Regular School (CCD),2134,530966001639,High,09-12,2066
Wenatchee Valley Technical Skills Center,Wenatchee School District,High,Career and Technical School (CCD),4105,530966002783,High,09-12,8
Westside High School,Wenatchee School District,High,Alternative School (CCD),1613,530966002193,High,09-12,279
Open Doors re-engagement,West Valley School District (Spokane),High,reengagement (by name),5356,530969003469,High,09-12,3
West Valley Innovation Center,West Valley School District (Yakima),High,Regular School (CCD),5699,530972003820,High,07-12,195
West Valley Open Doors,West Valley School District (Yakima),High,reengagement (by name),5540,530972003669,High,09-12,14
West Valley Virtual University,West Valley School District (Yakima),High,virtual/online (by name),5620,530972003776,High,09-12,2
White River Homeschool,White River School District,Other,homeschool partnership,5390,530978003544,Other,KG-12,0
White River Reengagement Program,White River School District,High,reengagement (by name),5338,530978003465,High,09-12,40
Cascade Public Schools,Why Not You Academy,High,charter,5662,530034903783,High,09-12,126
Wilbur Secondary School,Wilbur School District,High,Regular School (CCD),3289,530984001668,High,07-12,109
Willapa Valley Middle-High,Willapa Valley School District,High,Regular School (CCD),2542,530987001673,High,06-12,204
Wilson Creek High,Wilson Creek School District,High,Regular School (CCD),2473,530990001675,High,07-12,58
Winolequa Learning Academy,Winlock School District,High,Alternative School (CCD),1829,530993002804,High,06-12,0
Wishkah Valley Elementary/High School,Wishkah Valley School District,Other,Regular School (CCD),3375,530999001679,Other,KG-12,178
Wishram High And Elementary Schl,Wishram School District,Other,Regular School (CCD),2605,531002001680,Other,PK-12,91
Lewis River Academy,Woodland School District,Other,Alternative School (CCD),5246,531005003371,Other,KG-12,43
Woodland Alternative School,Woodland School District,High,Alternative School (CCD),1795,531005002713,High,09-12,96
Woodland High School,Woodland School District,High,Regular School (CCD),3546,531005001682,High,09-12,667
Juvenile Detention Center,Yakima School District,High,Regular School (CCD),4092,531011002932,High,05-12,23
Ridgeview Group Home,Yakima School District,High,Regular School (CCD),5264,531011003420,High,07-12,3
Yakima Adult Jail,Yakima School District,High,Regular School (CCD),5263,531011003399,High,07-12,0
Yakima Valley Technical Skills Center,Yakima School District,High,Career and Technical School (CCD),4020,531011002195,High,09-12,0
