school_name,district,grade_level_category,school_type_or_flag,ospi_school_code,nces_id,level,grade_span,enrollment_total
Firwood,Clover Park School District,Other,Regular School (CCD),2041,530141000271,Other,04-12,45
General William H. Harrison Preparatory School,Clover Park School District,High,Regular School (CCD),5027,530141003000,High,06-12,738
Gravelly Lake K-12 Academy,Clover Park School District,Other,Alternative School (CCD),5751,530141003920,Other,KG-12,162
Oakridge Group Home,Clover Park School District,High,Regular School (CCD),5298,530141003402,High,09-12,3
Re-Entry High School,Clover Park School District,High,Alternative School (CCD),1880,530141002860,High,09-12,5
Special Education Services/relife,Clover Park School District,Other,Special Education School (CCD),1882,530141002862,Other,PK-12,4
Transition Day Students,Clover Park School District,High,Regular School (CCD),5297,530141003396,High,05-12,8
Northwest Career and Technical High School,Clover Park Technical College,High,statewide specialty (Phase 3R SKIP),5951,530001703209,High,09-12,0
Colton School,Colton School District,Other,Regular School (CCD),2588,530150000277,Other,PK-12,166
Columbia Alternative School,Columbia (Stevens) School District,High,Alternative School (CCD),5283,530156003404,High,09-12,0
Columbia High And Elementary,Columbia (Stevens) School District,Other,Regular School (CCD),3508,530156000278,Other,PK-12,121
Colville Fish Hatchery,Colville School District,High,Career and Technical School (CCD),5604,530163003680,High,07-12,0
Panorama School,Colville School District,Other,Alternative School (CCD),1594,530163003305,Other,PK-12,68
Twin Cedars High School,Concrete School District,High,Alternative School (CCD),1605,530166000084,High,07-12,0
Almira Coulee Hartline High School,Coulee-Hartline School District,High,Regular School (CCD),2968,530344000514,High,09-12,102
Island County Corrections Facility Ed Program,Coupeville School District,High,Regular School (CCD),5234,530180003350,High,09-12,0
Island Juvenile Detention Education Program,Coupeville School District,High,Regular School (CCD),5059,530180003266,High,07-12,0
Crescent School,Crescent School District,Other,Regular School (CCD),3473,530183000292,Other,KG-12,228
Olympic Peninsula HomeConnection,Crescent School District,Other,Alternative School (CCD),5030,530183002942,Other,KG-12,144
Creston Jr-Sr High School,Creston School District,High,Regular School (CCD),2863,530186000294,High,07-12,34
Home Pride,Cusick School District,Other,Regular School (CCD),5538,530192003642,Other,KG-12,111
Darrington High School,Darrington School District,High,Regular School (CCD),3188,530198000301,High,09-12,113
LINCOLN COUNTY PATHWAYS ACADEMY,Davenport School District,High,Alternative School (CCD),5728,530201003897,High,09-12,18
Lincoln County Tech,Davenport School District,High,Career and Technical School (CCD),5603,530201003705,High,11-12,0
Lincoln County Virtual Academy,Davenport School District,Other,virtual/online (by name),5643,530201003752,Other,KG-12,5
Dayton High School,Dayton School District,High,Regular School (CCD),2302,530204000305,High,09-12,88
Dayton School District Alternative Program,Dayton School District,High,Alternative School (CCD),5617,530204003732,High,09-12,13
Deer Park Achievement High School,Deer Park School District,High,Alternative School (CCD),5734,530207003903,High,09-12,94
Deer Park Home Link Program,Deer Park School District,Other,Alternative School (CCD),1852,530207002827,Other,KG-12,617
EV Parent Partnership,East Valley School District (Spokane),Other,Alternative School (CCD),5433,530228003582,Other,KG-12,221
Canyon View Group Home,Eastmont School District,High,Regular School (CCD),2986,530231002913,Secondary,10-11,1
Eastmont Senior High,Eastmont School District,High,Regular School (CCD),2727,530231000318,High,10-12,1534
Easton School,Easton School District,Other,Regular School (CCD),3554,530234000324,Other,KG-12,81
Eatonville High School,Eatonville School District,High,Regular School (CCD),2206,530237000327,High,09-12,573
Contracted Schools,Edmonds School District,Other,Special Education School (CCD),1830,530240002821,Other,PK-12,18
ESA 112 Special Ed Co-Op,Educational Service Agency 112,Other,statewide specialty (Phase 3R SKIP),5467,530034003593,Other,PK-12,0
Martin Hall Detention Ctr,Educational Service District 101,High,institutional (juvenile detention / youth services),3352,530001002919,High,08-12,8
NEWESD 101 Open Doors,Educational Service District 101,High,regional alt / reengagement (Phase 3R SKIP),5434,530001003583,High,11-12,127
Spokane Juvenile Detention School,Educational Service District 101,High,institutional (juvenile detention / youth services),3526,530001002930,High,06-12,19
Structural Alt Confinement School,Educational Service District 101,High,institutional (juvenile detention / youth services),3507,530001002929,High,08-12,14
ESD 105 Open Doors,Educational Service District 105,High,regional alt / reengagement (Phase 3R SKIP),5578,530001303670,High,09-12,120
Clark County Juvenile Detention School,Educational Service District 112,Other,institutional (juvenile detention / youth services),5290,530000503407,Other,03-12,15
Cowlitz County Youth Services Center,Educational Service District 112,High,institutional (juvenile detention / youth services),3294,530000502917,High,06-12,14
ESD 112 Open Doors Reengagement,Educational Service District 112,High,regional alt / reengagement (Phase 3R SKIP),5398,530000503538,High,09-12,46
Ugrad ESD123 Re-Engagement Program,Educational Service District 123,High,regional alt / reengagement (Phase 3R SKIP),5403,530001203521,High,09-12,353
Eagle Virtual Sky Academy,Elma School District,Other,virtual/online (by name),5715,530249003884,Other,KG-12,41
East Grays Harbor High School,Elma School District,High,Alternative School (CCD),1629,530249001298,High,09-12,4
Entiat Middle and High School,Entiat School District,High,Regular School (CCD),3317,530255000374,High,06-12,205
Everett Virtual Academy,Everett School District,High,virtual/online (by name),5735,530267003904,High,06-12,45
NW Learning Center,Everett School District,High,Alternative School (CCD),1663,530267002469,High,09-12,2
Port Gardner,Everett School District,Other,Alternative School (CCD),1907,530267002897,Other,KG-12,88
Sno Co Jail,Everett School District,High,Regular School (CCD),1810,530267003435,High,07-12,0
Special Services,Everett School District,Other,Special Education School (CCD),3903,530267002818,Other,PK-12,95
Cascadia Technical Academy Skills Center,Evergreen School District (Clark),High,Career and Technical School (CCD),4203,530270002097,High,09-12,14
Evergreen High School,Evergreen School District (Clark),High,Regular School (CCD),2724,530270000418,High,09-12,1427
Henrietta Lacks Health and Bioscience High School,Evergreen School District (Clark),High,Regular School (CCD),5310,530270003463,High,09-12,467
Heritage High School,Evergreen School District (Clark),High,Regular School (CCD),4523,530270002711,High,09-12,1569
Hollingsworth Academy,Evergreen School District (Clark),Other,Special Education School (CCD),1646,530270001270,Other,KG-12,101
Home Choice Academy,Evergreen School District (Clark),Other,Alternative School (CCD),1926,530270003101,Other,KG-12,204
Legacy High School,Evergreen School District (Clark),High,Alternative School (CCD),4042,530270000412,High,06-12,341
Mountain View High School,Evergreen School District (Clark),High,Regular School (CCD),4162,530270001834,High,09-12,1523
Open Doors Evergreen,Evergreen School District (Clark),High,reengagement (by name),5435,530270003567,High,09-12,157
Union High School,Evergreen School District (Clark),High,Regular School (CCD),5111,530270003222,High,09-12,1989
Dynamic Family Services,Federal Way School District,Other,Special Education School (CCD),5280,530282003430,Other,PK-12,0
Employment Transition Program,Federal Way School District,High,Special Education School (CCD),1950,530282003124,High,09-12,62
Gateway to College,Federal Way School District,High,Regular School (CCD),5255,530282003374,High,09-12,23
